28.19,522.31,23.94,0
28.19,522.19,23.94,1
28.19,521.75,24.00,2
28.19,522.19,24.00,3
28.19,521.81,24.00,4
28.19,521.81,24.00,5
28.19,522.44,24.00,5
28.19,521.69,24.00,6
28.19,521.88,24.00,7
28.19,522.31,24.00,8
28.19,521.94,24.00,9
28.19,522.38,24.00,10
28.19,522.31,24.00,10
28.19,522.31,24.00,11
28.19,521.62,24.00,12
28.19,522.00,24.00,13
28.19,522.44,23.94,14
28.19,521.56,24.00,14
28.19,521.88,24.00,15
28.19,521.50,24.00,16
28.20,521.50,24.00,17
28.20,522.12,23.94,18
28.19,522.00,23.94,19
28.19,522.19,23.94,19
28.19,521.50,24.00,20
28.20,521.56,24.00,21
28.20,521.69,24.00,22
28.20,521.75,23.94,23
