28.19,521.75,21.75,0
28.20,519.94,21.75,1
28.20,520.19,21.75,2
28.20,520.00,21.75,3
28.20,519.00,21.75,4
28.21,518.19,21.75,5
28.20,518.94,21.75,5
28.20,518.75,21.75,6
28.20,518.62,21.75,7
28.20,519.06,21.69,8
28.20,518.75,21.75,9
28.20,518.56,21.75,9
28.20,518.44,21.75,10
28.20,518.38,21.75,11
28.20,518.25,21.75,12
28.21,518.44,21.75,13
28.20,518.62,21.75,14
28.20,518.50,21.75,14
28.21,518.25,21.75,15
28.21,518.38,21.75,16
28.21,518.25,21.75,17
28.21,518.19,21.75,18
28.21,518.06,21.75,19
28.21,517.94,21.75,19
28.21,518.00,21.75,20
28.21,517.94,21.75,21
28.21,518.06,21.75,22
28.21,518.12,21.75,23
28.21,518.12,21.75,24
28.21,518.25,21.75,24
28.20,518.50,21.75,25
28.21,518.50,21.75,26
28.20,518.44,21.75,27
28.20,518.81,21.75,28
28.20,518.19,21.75,29
28.21,518.62,21.75,29
28.21,518.00,21.81,30
28.21,518.81,21.75,31
28.20,518.69,21.75,32
28.20,518.94,21.75,33
28.21,518.25,21.75,34
28.21,518.06,21.81,34
28.21,517.88,21.81,35
28.21,517.94,21.81,36
28.21,518.38,21.75,37
28.20,518.38,21.69,0
28.21,519.69,21.75,1
28.20,519.38,21.75,2
28.20,518.50,21.75,3
28.20,518.75,21.75,4
28.20,521.31,21.75,5
28.19,522.31,21.75,5
28.19,523.94,21.69,6
28.18,526.94,21.56,7
28.17,529.56,21.50,8
28.16,532.75,21.38,9
28.15,535.69,21.25,10
28.14,540.00,21.06,10
28.13,540.94,20.94,11
28.13,542.56,20.75,12
28.12,545.19,20.56,13
28.11,550.12,20.38,14
28.09,552.06,20.25,15
28.09,553.62,20.06,15
28.08,556.19,19.88,16
28.07,559.31,19.75,17
28.07,559.88,19.56,18
28.07,557.69,19.44,19
28.08,555.75,19.25,20
28.08,556.75,19.06,20
28.07,560.00,18.88,21
28.06,563.25,18.75,22
28.05,567.31,18.56,23
28.03,570.69,18.44,24
28.03,572.38,18.31,24
28.02,573.25,18.19,25
28.02,572.25,18.06,26
28.03,570.50,17.94,27
28.03,570.00,17.81,28
28.03,568.06,17.69,29
28.04,564.25,17.56,29
28.06,561.25,17.44,30
28.06,560.50,17.38,31
28.06,560.44,17.31,32
28.06,560.25,17.19,33
28.06,562.44,17.12,34
28.05,564.81,17.06,34
28.05,565.75,17.00,35
28.05,564.50,16.94,36
28.05,566.88,16.88,37
